x,y,temperature
0.68,0.32,20.0196
0.7,0.32,20.0133
0.72,0.32,20.0087
0.74,0.32,20.0055
0.76,0.32,20.0033
0.78,0.32,20.0019
0.8,0.32,20.0011
0.82,0.32,20.0006
0.84,0.32,20.0003
0.86,0.32,20.0001
0.88,0.32,20.0001
0.9,0.32,20
0.92,0.32,20
0.94,0.32,20
0.96,0.32,20
0.98,0.32,20
1,0.32,20
0,0.34,20
0.02,0.34,20
0.04,0.34,20
0.06,0.34,20
0.08,0.34,20
0.1,0.34,20
0.12,0.34,20.0001
0.14,0.34,20.0002
0.16,0.34,20.0004
0.18,0.34,20.0008
0.2,0.34,20.0015
0.22,0.34,20.0027
0.24,0.34,20.0047
0.26,0.34,20.0078
0.28,0.34,20.0124
0.3,0.34,20.0189
0.32,0.34,20.0276
0.34,0.34,20.0389
0.36,0.34,20.0527
0.38,0.34,20.0685
0.4,0.34,20.0856
0.42,0.34,20.1027
0.44,0.34,20.1183
0.46,0.34,20.1309
0.48,0.34,20.1391
0.5,0.34,20.142
0.52,0.34,20.1391
0.54,0.34,20.1309
0.56,0.34,20.1183
0.58,0.34,20.1027
0.6,0.34,20.0856
0.62,0.34,20.0685
0.64,0.34,20.0527
0.66,0.34,20.0389
0.68,0.34,20.0276
0.7,0.34,20.0189
0.72,0.34,20.0124
0.74,0.34,20.0078
0.76,0.34,20.0047
0.78,0.34,20.0027
0.8,0.34,20.0015
0.82,0.34,20.0008
0.84,0.34,20.0004
0.86,0.34,20.0002
0.88,0.34,20.0001
0.9,0.34,20
0.92,0.34,20
0.94,0.34,20
0.96,0.34,20
0.98,0.34,20
1,0.34,20
0,0.36,20
0.02,0.36,20
0.04,0.36,20
0.06,0.36,20
0.08,0.36,20
0.1,0.36,20.0001
0.12,0.36,20.0001
0.14,0.36,20.0003
0.16,0.36,20.0006
0.18,0.36,20.0011
0.2,0.36,20.0021
0.22,0.36,20.0037
0.24,0.36,20.0064
0.26,0.36,20.0106
0.28,0.36,20.0168
0.3,0.36,20.0256
0.32,0.36,20.0374
0.34,0.36,20.0527
0.36,0.36,20.0713
0.38,0.36,20.0926
0.4,0.36,20.1156
0.42,0.36,20.1386
0.44,0.36,20.1596
0.46,0.36,20.1766
0.48,0.36,20.1876
